Date,Open,High,Low,Close,Volume
2021-10-13,9.26,9.46,9.06,9.41,5353117
2021-10-12,8.93,9.23,8.85,9.23,4954762
2021-10-11,9.05,9.22,8.64,9.0,8287285
2021-10-08,8.27,8.85,8.12,8.79,10476118
2021-10-07,7.8,8.38,7.72,8.17,9984313
2021-10-06,7.36,7.6,7.25,7.45,5489250
2021-10-05,7.26,7.64,7.26,7.47,6272430
2021-10-04,7.65,7.65,7.22,7.26,11014395
2021-10-01,7.97,8.05,7.62,7.79,5826766
2021-09-30,7.72,8.13,7.66,8.03,5918996
2021-09-29,7.96,8.06,7.72,7.73,4029241
2021-09-28,8.12,8.31,7.97,8.03,5383945
2021-09-27,7.87,8.22,7.55,8.2,9262738
2021-09-24,8.28,8.35,7.81,7.95,10071715
2021-09-23,8.52,8.57,8.25,8.46,4714098
2021-09-22,8.3,8.8,8.3,8.5,5869414
2021-09-21,8.41,8.46,8.21,8.26,2941358
2021-09-20,8.51,8.59,8.25,8.39,7077828
2021-09-17,9.1,9.1,8.66,8.7,6787582
2021-09-16,8.76,9.02,8.62,8.91,4689926
2021-09-15,8.91,8.97,8.68,8.83,6615481
2021-09-14,9.19,9.24,8.87,8.98,4385305
2021-09-10,9.93,10.06,9.54,9.59,3068350
2021-09-09,9.33,9.85,9.31,9.78,4689469
2021-09-08,10.17,10.18,9.48,9.61,7474469
2021-09-07,10.0,10.61,9.9,10.18,9143531
2021-09-03,9.84,10.1,9.78,9.97,4168820
2021-09-02,10.07,10.2,9.73,9.92,8585961
2021-09-01,9.19,10.2,9.18,9.93,13979516
2021-08-31,8.97,9.23,8.79,9.06,7597649
2021-08-30,8.54,8.75,8.28,8.69,7936488
2021-08-27,9.02,9.02,8.56,8.66,11613387
2021-08-26,9.34,9.5,9.15,9.22,8148883
2021-08-25,9.33,9.55,9.12,9.42,6926293
2021-08-24,9.15,9.66,9.09,9.52,12214329
2021-08-23,8.55,8.85,8.24,8.77,17246180
2021-08-20,8.2,8.68,8.19,8.33,11714395
2021-08-19,8.42,8.6,8.16,8.2,12741899
2021-08-18,8.81,8.92,8.4,8.71,14143610
2021-08-17,8.66,9.05,8.45,8.75,11637129
2021-08-16,9.32,9.41,8.94,8.98,10534715
2021-08-13,9.43,9.8,9.28,9.47,10888122
2021-08-12,10.3,10.32,9.12,9.47,31495891
2021-08-11,10.74,10.75,10.12,10.21,10652860
2021-08-10,11.0,11.22,10.54,10.62,7899996
2021-08-09,10.63,10.92,10.49,10.83,8526856
2021-08-06,10.87,10.98,10.52,10.58,6674539
2021-08-05,11.03,11.15,10.75,10.92,8332754
2021-08-04,11.28,11.4,10.99,11.23,9131770
2021-08-03,11.2,11.25,10.82,11.21,6115953
2021-08-02,11.25,11.73,11.13,11.41,8317926
2021-07-30,11.33,11.42,11.08,11.16,6560188
2021-07-29,11.95,12.0,11.16,11.34,8393809
2021-07-28,11.12,11.73,11.11,11.67,10599918
2021-07-27,10.56,11.15,10.33,10.72,13241415
2021-07-26,10.75,11.62,10.44,10.92,11810602
2021-07-23,11.83,11.92,11.21,11.32,13993454
2021-07-22,12.44,12.47,12.01,12.13,4686438
2021-07-21,12.44,12.62,12.23,12.39,7786277
2021-07-20,12.31,12.45,11.97,12.37,3708049
2021-07-19,12.04,12.38,11.9,12.29,7093774
2021-07-16,12.73,12.79,12.18,12.31,7822484
2021-07-15,12.52,12.91,12.32,12.73,4884445
2021-07-14,13.19,13.33,12.49,12.55,8975410
2021-07-13,13.38,13.73,13.06,13.15,7827180
2021-07-12,13.2,13.22,12.76,13.13,6265149
2021-07-09,13.29,13.29,12.8,13.19,8075770
2021-07-08,13.05,13.26,12.8,12.96,11712422
2021-07-07,14.51,14.59,13.39,13.49,9235274
2021-07-06,14.69,14.82,14.11,14.4,9965035
2021-07-02,15.03,15.16,14.84,14.97,3952225
2021-07-01,15.68,15.69,15.07,15.13,5346617
2021-06-30,15.73,15.9,15.56,15.58,2998361
2021-06-29,15.77,15.88,15.34,15.74,4335508
2021-06-28,15.9,16.13,15.61,15.69,5737328
2021-06-25,15.65,15.93,15.42,15.89,9279024
2021-06-24,15.19,15.64,15.13,15.6,5882973
2021-06-23,14.84,15.17,14.75,15.07,5023106
2021-06-22,14.44,14.84,14.28,14.8,4869020
2021-06-21,14.61,14.66,14.2,14.43,8185516
2021-06-18,14.76,14.94,14.51,14.61,6549820
2021-06-17,15.0,15.17,14.51,14.78,7225160
2021-06-16,15.07,15.31,14.76,14.97,5515664
2021-06-15,15.61,15.71,14.81,14.84,8179367
2021-06-14,14.57,15.85,14.5,15.56,13600719
2021-06-11,15.12,15.18,14.47,14.54,8079828
2021-06-10,14.95,15.24,14.79,14.98,7901586
2021-06-09,14.45,15.2,14.41,14.88,13959559
2021-06-08,14.24,14.39,14.03,14.22,4413582
2021-06-07,14.31,14.4,13.92,14.14,10471848
2021-06-04,13.91,14.6,13.73,14.47,14464114
2021-06-03,14.24,14.63,13.69,13.75,10522348
2021-06-02,14.57,14.91,14.19,14.42,9952012
2021-06-01,14.61,14.82,14.33,14.78,8733781
2021-05-28,14.38,14.83,14.22,14.26,9325734
2021-05-27,13.97,14.57,13.76,14.53,10156508
2021-05-26,13.99,14.15,13.82,13.92,7801465
2021-05-25,13.74,14.26,13.73,13.96,10151610
2021-05-24,14.19,14.19,13.63,13.63,8126723
2021-05-21,14.05,14.18,13.83,13.93,8799395
2021-05-20,13.6,14.07,13.46,13.95,17072325
2021-05-19,13.75,14.33,13.21,13.38,19359055
2021-05-18,13.5,14.37,13.1,13.95,24552395
2021-05-17,12.91,12.96,12.4,12.65,12532055
2021-05-14,12.53,12.96,12.33,12.84,14416305
2021-05-13,13.2,13.36,12.14,12.32,21005368
2021-05-12,13.27,13.65,13.08,13.16,12881797
2021-05-11,12.65,13.45,12.56,13.27,11817430
2021-05-10,13.63,13.66,13.02,13.16,25319336
2021-05-07,14.07,14.35,13.66,13.74,10988204
2021-05-06,14.32,14.39,13.66,14.11,12627477
2021-05-05,14.73,14.76,14.18,14.21,10538762
2021-05-04,14.9,15.25,14.54,14.61,21629637
2021-05-03,14.82,15.44,14.79,15.06,13327247
2021-04-30,14.98,15.22,14.65,14.71,11230012
2021-04-29,15.64,15.64,14.9,15.08,12895110
2021-04-28,15.94,16.08,15.44,15.47,13155118
2021-04-27,15.95,16.22,15.78,15.86,9214988
2021-04-26,15.75,15.85,15.36,15.73,17760004
2021-04-23,15.51,15.75,15.27,15.6,11439668
2021-04-22,15.52,15.7,15.15,15.43,15880555
2021-04-21,14.17,15.34,14.09,15.26,25614442
2021-04-20,14.97,15.0,14.09,14.15,27148122
2021-04-19,15.38,15.38,14.91,15.0,15993606
2021-04-16,15.37,15.47,14.7,15.22,29818500
2021-04-15,15.61,15.9,15.08,15.17,27725473
2021-04-14,16.1,16.4,15.3,15.35,63683735
2021-04-13,16.38,16.83,16.2,16.66,9288961
2021-04-12,16.89,17.02,16.12,16.16,16253258
2021-04-09,17.29,17.29,16.64,16.8,18847958
2021-04-08,18.0,18.09,17.15,17.24,16415868
2021-04-07,18.68,18.95,17.43,17.6,16495149
2021-04-06,17.25,19.0,17.21,18.68,31678782
2021-04-05,17.0,17.33,16.57,16.99,21850313
2021-04-01,17.03,17.36,16.6,16.64,23787047
2021-03-31,17.8,17.98,16.42,16.62,35050700
2021-03-30,17.1,18.1,16.7,17.21,54164446
2021-03-29,17.92,18.49,16.0,16.55,116195630
2021-03-26,19.72,21.68,14.6,17.43,134985380
2021-03-25,22.86,23.44,19.15,20.08,26454461
2021-03-24,28.9,28.91,22.19,23.17,36871782
2021-03-23,27.6,28.97,27.27,28.91,13033809
2021-03-22,27.94,28.06,27.4,28.04,4475488
2021-03-19,26.76,27.96,26.57,27.77,9254672
2021-03-18,25.85,26.68,25.44,26.63,7028133
2021-03-17,24.4,26.19,23.96,26.03,9797867
2021-03-16,25.25,25.6,25.07,25.5,4403172
2021-03-15,26.43,26.5,24.87,25.14,8185020
2021-03-12,27.1,27.29,26.29,26.44,8604969
2021-03-11,27.98,28.22,27.37,27.69,13264024
2021-03-10,26.92,27.85,26.65,27.83,14345692
2021-03-09,25.88,27.13,25.34,27.09,12268383
2021-03-08,25.23,25.94,24.82,25.76,13122079
2021-03-05,25.19,26.12,24.98,26.07,13526813
2021-03-04,25.73,26.08,24.72,25.62,22790895
2021-03-03,25.93,26.42,25.48,26.39,6105801
2021-03-02,25.22,26.0,25.21,25.93,8195922
2021-03-01,25.54,25.62,24.87,25.45,5902379
2021-02-26,25.0,25.8,24.22,25.33,18119434
2021-02-25,24.68,25.3,24.29,25.26,9082223
2021-02-24,24.4,24.89,23.56,24.87,9040977
2021-02-23,23.24,24.78,22.29,24.75,10900797
2021-02-22,23.43,23.99,23.28,23.88,9086992
2021-02-19,25.42,25.6,24.25,24.72,8510531
2021-02-18,22.15,25.64,22.15,25.61,16340282
2021-02-17,24.46,25.01,24.12,24.98,9571301
2021-02-16,26.86,26.89,24.51,25.11,27553211
2021-02-12,26.18,26.82,25.9,26.46,9360168
2021-02-11,25.15,26.76,25.1,26.32,10201625
2021-02-10,25.18,25.82,24.49,25.14,15364399
2021-02-09,23.61,25.15,23.45,25.0,9709465
2021-02-08,23.22,23.59,22.92,23.55,4705309
2021-02-05,23.41,23.46,22.75,23.21,6192895
2021-02-04,23.4,23.57,22.98,23.2,12098540
2021-02-03,22.22,23.12,22.1,22.82,13980200
2021-02-02,22.0,22.56,21.61,22.22,9216242
2021-02-01,21.91,22.34,21.72,21.89,4357004
2021-01-29,21.68,22.55,21.54,21.85,7483356
2021-01-28,21.92,22.04,21.21,21.93,19861973
2021-01-27,20.47,22.82,20.41,21.8,21483848
2021-01-26,20.83,21.04,20.28,20.89,5890512
2021-01-25,20.98,21.6,20.72,20.8,5951277
2021-01-22,20.52,20.81,20.02,20.62,8620031
2021-01-21,20.9,21.06,20.43,20.86,9556895
2021-01-20,19.51,21.35,19.51,21.14,19432516
2021-01-19,19.46,19.88,19.33,19.49,7292504
2021-01-15,19.9,19.99,19.48,19.76,5571734
2021-01-14,19.48,20.02,19.34,19.85,6334754
2021-01-13,19.21,19.65,18.87,19.31,10587672
2021-01-12,19.51,19.65,18.83,19.47,12973489
2021-01-11,19.53,20.09,19.09,20.01,15312895
2021-01-08,19.16,19.65,18.74,19.61,9233027
2021-01-07,18.61,18.9,18.46,18.82,8024387
2021-01-06,18.49,19.07,18.4,18.61,10356442
2021-01-05,18.29,18.65,17.93,18.64,11879797
2021-01-04,17.6,18.24,17.51,18.04,10472688
